"Dataset","n","Opt","Group","Method","p","q","Time","GRR","BRR","SD","GRCV","BRCV","Gap_0","Gap_2.5","Gap_5","Gap_7.5","Gap_10","Gap_12.5","Gap_15","Gap_17.5","Gap_20","Gap_22.5","Gap_25","Gap_27.5","Gap_30","Gap_32.5","Gap_35","Gap_37.5","Gap_40","Gap_42.5","Gap_45","Gap_47.5","Gap_50","Gap_52.5","Gap_55","Gap_57.5","Gap_60","Gap_62.5","Gap_65","Gap_67.5","Gap_70","Gap_72.5","Gap_75","Gap_77.5","Gap_80","Gap_82.5","Gap_85","Gap_87.5","Gap_90","Gap_92.5","Gap_95","Gap_97.5","Gap_100"
"ali535",535,202310,"CI","CI",NA,NA,0.436204000000004,1,42.5315912636921,1506.37564941761,1,0.421902028119173,16.4480253076961,16.7317483070535,16.8328060896644,16.8882655330928,16.9488903168405,16.9740126538481,17.2610597597746,17.373300874895,17.4211853096733,17.4730117146953,17.483194108052,17.5139142899511,17.8269487420296,17.854283030992,17.9907073303346,18.0576837526568,18.2036478671346,18.2259898176066,18.2508032227769,18.2636053581138,18.3045820770105,18.3505511343977,18.3733626612624,18.4177747021897,18.5123819880382,18.5362191686026,18.5962137314023,18.6284044288468,18.726953684939,18.7522366665019,18.787133606841,18.8166674904849,18.8562107656567,18.8954327517176,18.9212100242203,18.9431441846671,18.9897187484553,19.0213039394988,19.0544461470021,19.1068409866047,19.6796994711087
"ali535",535,202310,"CI","CI",0,0,0.436204000000004,1,42.5315912636921,1506.37564941761,1,0.421902028119173,16.4480253076961,16.7317483070535,16.8328060896644,16.8882655330928,16.9488903168405,16.9740126538481,17.2610597597746,17.373300874895,17.4211853096733,17.4730117146953,17.483194108052,17.5139142899511,17.8269487420296,17.854283030992,17.9907073303346,18.0576837526568,18.2036478671346,18.2259898176066,18.2508032227769,18.2636053581138,18.3045820770105,18.3505511343977,18.3733626612624,18.4177747021897,18.5123819880382,18.5362191686026,18.5962137314023,18.6284044288468,18.726953684939,18.7522366665019,18.787133606841,18.8166674904849,18.8562107656567,18.8954327517176,18.9212100242203,18.9431441846671,18.9897187484553,19.0213039394988,19.0544461470021,19.1068409866047,19.6796994711087
"ali535",535,202310,"CI","tp_a_CI",0.024,0.282,0.447779999999981,1.02653804183359,43.6602964118969,1930.67113164338,1.27828631526845,0.539311588928744,16.4430823982996,16.8167663486728,16.8167663486728,16.8167663486728,17.0204142158074,17.183530225891,17.183530225891,17.4456527111858,17.5137165735752,17.6041718155306,17.6041718155306,17.9027235430775,18.2320201670703,18.4311205575602,18.4889525974989,18.5774306756957,18.5774306756957,18.5774306756957,18.5858336216697,18.5858336216697,18.5887993673076,18.5897879491869,18.5932479857644,18.6253768968415,18.6911175918145,18.6911175918145,18.8423706193465,18.8423706193465,18.8443477831051,18.8867703030003,18.9093470416687,18.9886807374821,19.1038505264198,19.1038505264198,19.3322129405368,19.6971850130987,19.7879491868914,20.0205130739954,20.1695417922989,20.2091221392912,20.2777915080817
"ali535",535,202310,"CI","tpn_a_CI",0.066,0.534,0.466628000000026,1.06974718251099,45.4980499220435,2089.53639385355,1.38870013470998,0.585895403283508,14.4436755474272,15.7378898719787,16.3083139736049,16.5490707330335,16.6924521773516,16.8742894567743,16.9894716029855,17.0844619643122,17.1888685680391,17.2634323562849,17.3371311353863,17.3986332855519,17.4759527457862,17.5557313034452,17.6627947209728,17.7656813800603,17.8262073056201,17.8590900103801,17.936928476101,18.0120236271069,18.0618852256438,18.120409272898,18.1618802827344,18.2350476990757,18.3021106223123,18.4022045375908,18.5041273293461,18.5713014680441,18.6618555681874,18.7190573871781,18.7580940141367,18.8150363303841,18.9154268202264,18.9705773318175,19.0382086896347,19.163227225545,19.3012208986209,19.4380777025357,19.5862290544214,19.915216746577,20.3662695862785
"ali535",535,202310,"CI","tp_c_CI",0,0.172,0.44726799999997,1.02536427909869,43.6103744150159,1501.19380587104,0.990327392921768,0.417821135575667,17.7504819336662,17.7504819336662,17.7643220799763,17.7643220799763,17.7989224457516,17.981810093421,18.1607434135732,18.1607434135732,18.1815036330384,18.1815036330384,18.200286688745,18.2576244377441,18.2576244377441,18.2640502199595,18.2640502199595,18.2640502199595,18.2640502199595,18.4182689931294,18.5502446740151,19.2635064999259,19.2635064999259,19.2635064999259,19.2967969947111,19.3356729771143,19.3905392714152,19.5086748059908,19.5521724086797,19.5561267361969,19.5635411002916,19.5729326281449,19.6006129207652,19.6006129207652,19.6114873214374,19.6782165982898,19.6973456576541,19.7172655825219,19.7301171469527,19.752137808314,19.7712174385843,19.843087341209,19.991597054026
"ali535",535,202310,"CI","tpn_c_CI",0.018,0.306,0.460380000000028,1.05542360913706,44.8888455538684,2115.11803427464,1.39699617229592,0.58939551836637,15.0674707132618,16.6087316494489,16.9582818446938,17.2160669269932,17.422964757056,17.5124190598586,17.600810637141,17.7744426869656,17.8612031041471,17.9645593396273,18.0764668083634,18.1784884583066,18.2337501853591,18.2798057436607,18.3570757748011,18.4687484553408,18.5285947308586,18.5903069546735,18.6462359744946,18.7263605358114,18.7949186891404,18.8607705995749,18.9188868568039,18.9910780485394,19.0563985962137,19.111326676882,19.1956650684593,19.2983416538975,19.3731896594336,19.4435149028718,19.5157184518808,19.6110301023182,19.7289308486975,19.806682813504,19.8894271168009,19.9556991745341,20.0895160891701,20.2139167614058,20.359917947704,20.6070263457071,21.0375166823192
"ali535",535,202310,"CI","tp_s_CI",0,0.472,0.406808000000007,0.932609512980174,39.6653666147037,1040.914966748,0.6905568923716,0.291347353423251,17.3594978004053,17.3594978004053,17.5092679551184,17.6278977806337,17.6985813850032,17.6985813850032,17.6985813850032,17.7305496515249,17.8384657209233,17.8404428846819,17.8429143393802,17.8448915031387,17.8448915031387,17.8582373585092,17.8720775048193,17.973407147447,17.973407147447,17.9748900202659,18.0104789679205,18.0104789679205,18.0757253719539,18.1651920320301,18.1884237061935,18.1884237061935,18.2383470910978,18.3414685383817,18.3516385744649,18.5299787454896,18.5542978597202,18.6623004300331,18.6698630814097,18.7336266126242,18.7543868320894,18.8339676733725,18.9011912411646,18.9456774257328,18.9852207009046,19.0871187781128,19.1021205081311,19.2145716969008,19.3717562157086
"ali535",535,202310,"CI","tpn_s_CI",0.418,0.948,0.437843999999994,1.0037597087601,42.6914976599472,1513.18662137299,1.01849731438771,0.429706082574108,14.1653897484059,14.9697370372201,15.2751964806485,15.4164401166527,15.5319559092482,15.6604344817359,15.8016163313726,15.8843359201226,15.9519549206663,15.9985047699076,16.0512332558944,16.0842518906629,16.1651426029361,16.2188102417083,16.2697839948594,16.3418763284069,16.3773417033266,16.4792397805348,16.5337847857249,16.5765409520044,16.6057041174435,16.6352627156344,16.6738174089269,16.7400523948396,16.7752459097425,16.7979215065988,16.8416538974841,16.8953338935297,16.9406356581484,16.9735554347289,17.0228856705057,17.0863279126093,17.1312342444763,17.1972715140131,17.2799911027631,17.3451015767881,17.4576145519253,17.5798403440265,17.6738421234739,17.9297118283822,18.3584597894321
"ali535",535,202310,"CI","tp_w_CI",0,0.008,0.443147999999998,1.01591915709162,43.2086583463755,1512.3961736384,0.995873943935623,0.420161236697479,17.4074440215511,17.4074440215511,17.602194651772,17.602194651772,17.6367950175473,17.7860708813207,17.9155751075083,17.9155751075083,17.9279323809995,19.1799713311255,19.1799713311255,19.2121002422026,19.2121002422026,19.217043151599,19.4083337452425,19.4108051999407,19.435519746923,19.435519746923,19.435519746923,19.435519746923,19.4483713113539,19.4483713113539,19.4483713113539,19.4572685482675,19.4869260046463,19.4903860412239,19.5151005882062,19.5358608076714,19.5388265533093,19.5492066630419,19.5561267361969,19.563046809352,19.5843013197568,19.6090158667392,19.6420097869606,19.6885967080223,19.7009045524196,19.731105728832,19.7362463546043,19.7897162770007,19.8897731204587
"ali535",535,202310,"CI","tpn_w_CI",0.016,0.33,0.607511999999965,1.392724505048,59.2347893916296,1745.88293855983,1.15482568940299,0.487223300483243,15.0911966783649,16.7357767782117,17.0477979338639,17.3537887400524,17.5564727398547,17.644209381642,17.7579951559488,17.8830754782265,17.9455291384509,18.0072166477188,18.0823982996392,18.1348302110622,18.2023627106915,18.2824254856409,18.316519203203,18.3512925708072,18.3906875586971,18.4574909791904,18.4974049725669,18.5271983589541,18.5821264396224,18.6357322920271,18.7026098561613,18.7532993920221,18.7881963323612,18.8453981513519,18.90761702338,18.9691191735455,19.0319311947012,19.072154119915,19.1304186644259,19.2071696900796,19.2623202016707,19.3299886313084,19.4553160990559,19.5387029805744,19.6632890119124,19.7907913597944,19.9400177944738,20.151253027532,21.3271711729524
"ali535",535,202310,"FI","FI",NA,NA,0.6086,1,59.3408736350029,3969.86526810543,1,1.19781633632045,4.49063318669369,6.19070980178933,6.52266323958282,6.78935791606939,6.95269635707577,7.067927932381,7.29672285107014,7.76962335030399,7.89975779743957,8.06081014285009,8.18138006030349,8.45936928476102,8.57481093371559,8.69505956205823,8.73916267114824,8.86411942069102,9.16019969353962,9.4648559141911,9.63805545944343,9.80403835697692,9.96885967080223,10.0093915278533,10.093865849439,10.1383273194602,10.2861944540557,10.4276852355296,10.5562503089318,10.6350279274381,10.7246305175226,10.808795907271,11.0691513024566,11.2784464435767,11.4592457120261,11.6146878552716,11.7155108496861,11.8551356828629,12.0743907864169,12.4363600415204,12.5996984825268,13.3050640106767,16.1173446690722
"ali535",535,202310,"FI","FI",0,0,0.6086,1,59.3408736350029,3969.86526810543,1,1.19781633632045,4.49063318669369,6.19070980178933,6.52266323958282,6.78935791606939,6.95269635707577,7.067927932381,7.29672285107014,7.76962335030399,7.89975779743957,8.06081014285009,8.18138006030349,8.45936928476102,8.57481093371559,8.69505956205823,8.73916267114824,8.86411942069102,9.16019969353962,9.4648559141911,9.63805545944343,9.80403835697692,9.96885967080223,10.0093915278533,10.093865849439,10.1383273194602,10.2861944540557,10.4276852355296,10.5562503089318,10.6350279274381,10.7246305175226,10.808795907271,11.0691513024566,11.2784464435767,11.4592457120261,11.6146878552716,11.7155108496861,11.8551356828629,12.0743907864169,12.4363600415204,12.5996984825268,13.3050640106767,16.1173446690722
"ali535",535,202310,"FI","tp_a_FI",0,0.67,0.71487200000002,1.17461715412425,69.702808112394,2652.8306656863,0.675306050387301,0.808892619169951,5.5459443428402,6.44494834659682,6.63783302852059,6.72188720280757,7.00607977855766,7.22554495576096,7.27749493351786,7.30608966437646,7.45291878799862,7.55375413968662,7.62517918046562,7.69610993030498,7.73664178735604,7.87897286342742,7.97390143838663,8.01987049577381,8.06336809846275,8.11576293806534,8.18941228807276,8.28311749295636,8.3945430280263,8.47261628194354,8.47919035144086,8.57545351193713,8.69131530819041,8.78701003410607,8.87845385794078,8.97584153032476,9.08353516880037,9.20814591468538,9.32677574020068,9.48273688893284,9.60328209183925,9.71138352034006,9.92998368839899,9.97207256190994,10.270278285799,10.6255498986704,11.0516781177401,11.4008946666008,13.8752409668331
